customerid,invoiceno,stockcode,description,quantity,invoicedate,price,country
20001,INV-2023-001,PROD-001,Wireless Bluetooth Headphones,2,2023-01-15,89.99,USA
20001,INV-2023-001,PROD-002,USB-C Charging Cable,3,2023-01-15,12.99,USA
20001,INV-2023-002,PROD-003,Laptop Stand,1,2023-02-20,45.00,USA
20002,INV-2023-003,PROD-004,Mechanical Keyboard,1,2023-01-18,129.99,Canada
20002,INV-2023-003,PROD-005,Gaming Mouse,1,2023-01-18,79.99,Canada
20002,INV-2023-004,PROD-006,Monitor Light Bar,1,2023-03-10,35.00,Canada
20003,INV-2023-005,PROD-007,Webcam 1080p,1,2023-01-22,59.99,UK
20003,INV-2023-005,PROD-008,USB Hub 7-Port,2,2023-01-22,24.99,UK
20003,INV-2023-006,PROD-009,Ergonomic Mouse Pad,1,2023-04-05,15.00,UK
20004,INV-2023-007,PROD-010,Smartphone Stand,2,2023-01-25,19.99,Australia
20004,INV-2023-007,PROD-011,Wireless Charger,1,2023-01-25,29.99,Australia
20004,INV-2023-008,PROD-012,Screen Protector Pack,5,2023-05-12,9.99,Australia
20005,INV-2023-009,PROD-013,Portable SSD 1TB,1,2023-02-01,149.99,Germany
20005,INV-2023-009,PROD-014,USB Flash Drive 64GB,4,2023-02-01,14.99,Germany
20005,INV-2023-010,PROD-015,HDMI Cable 6ft,2,2023-06-18,8.99,Germany
20006,INV-2023-011,PROD-016,Desk Lamp LED,1,2023-02-05,39.99,France
20006,INV-2023-011,PROD-017,Desk Organizer,1,2023-02-05,25.00,France
20006,INV-2023-012,PROD-018,Notebook Set,3,2023-07-22,12.99,France
20007,INV-2023-013,PROD-019,Wireless Earbuds,2,2023-02-10,79.99,Japan
20007,INV-2023-013,PROD-020,Phone Case Premium,1,2023-02-10,29.99,Japan
20007,INV-2023-014,PROD-021,Screen Cleaning Kit,1,2023-08-15,19.99,Japan
20008,INV-2023-015,PROD-022,Tablet Stand,1,2023-02-15,34.99,USA
20008,INV-2023-015,PROD-023,Stylus Pen,2,2023-02-15,24.99,USA
20008,INV-2023-016,PROD-024,Tablet Sleeve,1,2023-09-01,29.99,USA
20009,INV-2023-017,PROD-025,Bluetooth Speaker,1,2023-02-20,69.99,Canada
20009,INV-2023-017,PROD-026,Audio Cable 3.5mm,3,2023-02-20,7.99,Canada
20009,INV-2023-018,PROD-027,Headphone Stand,1,2023-10-05,19.99,Canada
20010,INV-2023-019,PROD-028,Power Bank 20000mAh,1,2023-03-01,49.99,UK
20010,INV-2023-019,PROD-029,USB-C Cable Pack,4,2023-03-01,14.99,UK
20010,INV-2023-020,PROD-030,Car Charger,1,2023-11-12,24.99,UK
20011,INV-2023-021,PROD-031,Smart Watch Band,2,2023-03-05,19.99,Australia
20011,INV-2023-021,PROD-032,Screen Magnifier,1,2023-03-05,39.99,Australia
20011,INV-2023-022,PROD-033,Tablet Grip,1,2023-12-01,15.00,Australia
20012,INV-2023-023,PROD-034,External Hard Drive 2TB,1,2023-03-10,89.99,Germany
20012,INV-2023-023,PROD-035,SATA Cable,2,2023-03-10,9.99,Germany
20012,INV-2023-024,PROD-036,Drive Enclosure,1,2024-01-15,35.00,Germany
20013,INV-2023-025,PROD-037,Graphics Card,1,2023-03-15,299.99,USA
20013,INV-2023-025,PROD-038,Thermal Paste,1,2023-03-15,12.99,USA
20013,INV-2023-026,PROD-039,Case Fan RGB,2,2024-02-20,19.99,USA
20014,INV-2023-027,PROD-040,Motherboard,1,2023-03-20,199.99,Canada
20014,INV-2023-027,PROD-041,RAM 16GB,2,2024-03-10,79.99,Canada
20014,INV-2023-028,PROD-042,CPU Cooler,1,2024-04-05,59.99,Canada
20015,INV-2023-029,PROD-043,Power Supply 750W,1,2023-03-25,129.99,UK
20015,INV-2023-029,PROD-044,Cable Sleeves,5,2024-05-12,4.99,UK
20015,INV-2023-030,PROD-045,Case Modding Kit,1,2024-06-18,49.99,UK
20016,INV-2023-031,PROD-046,Office Chair,1,2023-04-01,299.99,France
20016,INV-2023-031,PROD-047,Desk Mat XL,1,2024-07-22,29.99,France
20016,INV-2023-032,PROD-048,Monitor Arm,1,2024-08-15,89.99,France
20017,INV-2023-033,PROD-049,Standing Desk,1,2023-04-05,599.99,Japan
20017,INV-2023-033,PROD-050,Anti-Fatigue Mat,1,2024-09-01,79.99,Japan
20017,INV-2023-034,PROD-051,Desk Organizer Set,2,2024-10-05,45.00,Japan
20018,INV-2023-035,PROD-052,Wireless Router,1,2023-04-10,149.99,USA
20018,INV-2023-035,PROD-053,Ethernet Cable Cat6,3,2024-11-12,12.99,USA
20018,INV-2023-036,PROD-054,Network Switch,1,2024-12-01,59.99,USA
20019,INV-2023-037,PROD-055,Smart Home Hub,1,2023-04-15,129.99,Canada
20019,INV-2023-037,PROD-056,Smart Bulb Pack,4,2024-01-15,49.99,Canada
20019,INV-2023-038,PROD-057,Motion Sensor,2,2024-02-20,29.99,Canada
20020,INV-2023-039,PROD-058,Security Camera,2,2023-04-20,199.99,UK
20020,INV-2023-039,PROD-059,SD Card 128GB,5,2024-03-10,24.99,UK
20020,INV-2023-040,PROD-060,NVR Recorder,1,2024-04-05,299.99,UK
